Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Antonio Sanabria,py PAR,28,1996,FW,Torino,it Serie A,26,16,1318,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Torino,,it Serie A,
Antonio Sánchez,es ESP,27,1997,"MF,DF",Mallorca,es La Liga,33,12,1395,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Mallorca,,es La Liga,
Antoniu,es ESP,21,2002,"FW,MF",Espanyol,es La Liga,26,13,1022,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Espanyol,,es La Liga,
Antony,br BRA,24,2000,"DF,MF, FW","Manchester Utd,Betis","eng Premier League,es La Liga",25,15,1503,5,2,7,83.27402135231317,69.42467378410439,79.2111506524318,Manchester Utd,Betis,eng Premier League,es La Liga
Antonín Barák,cz CZE,29,1994,MF,Fiorentina,it Serie A,1,1,54,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Fiorentina,,it Serie A,
Anuar,ma MAR,29,1995,"MF,FW",Valladolid,es La Liga,26,21,1720,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Valladolid,,es La Liga,
Archie Gray,eng ENG,18,2006,"DF,MF",Tottenham,eng Premier League,28,19,1751,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Tottenham,,eng Premier League,
Arda Güler,tr TUR,19,2005,"MF,FW",Real Madrid,es La Liga,28,14,1250,3,4,7,72.27164887307237,86.98102016607355,79.2111506524318,Real Madrid,,es La Liga,
Arijon Ibrahimović,de GER,18,2005,"FW, MF","Lazio,Bayern Munich","it Serie A,de Bundesliga",2,0,9,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lazio,Bayern Munich,it Serie A,de Bundesliga
Aristide Zossou,ci CIV,19,2005,MF,Auxerre,fr Ligue 1,3,0,16,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Auxerre,,fr Ligue 1,
Arkaitz Mariezkurrena,es ESP,19,2005,"FW,MF",Real Sociedad,es La Liga,9,1,241,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Real Sociedad,,es La Liga,
Armando Broja,al ALB,22,2001,FW,Everton,eng Premier League,10,4,334,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Everton,,eng Premier League,
Armin Gigovic,ba BIH,22,2002,MF,Holstein Kiel,de Bundesliga,31,23,1895,5,1,6,83.27402135231317,53.084223013048636,75.62277580071175,Holstein Kiel,,de Bundesliga,
Armindo Sieb,de GER,21,2003,"FW,MF",Mainz 05,de Bundesliga,27,5,762,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Mainz 05,,de Bundesliga,
Arnau Martinez,es ESP,21,2003,"DF,MF",Girona,es La Liga,32,30,2624,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Girona,,es La Liga,
Arnau Solà,es ESP,21,2003,MF,Villarreal,es La Liga,1,0,13,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Villarreal,,es La Liga,
Arnaud Kalimuendo,fr FRA,22,2002,"FW,MF",Rennes,fr Ligue 1,33,31,2578,17,3,20,98.72479240806643,79.7153024911032,97.83511269276394,Rennes,,fr Ligue 1,
Arnaud Nordin,fr FRA,26,1998,"DF,MF, FW","Montpellier,Mainz 05","fr Ligue 1,de Bundesliga",22,14,1246,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Montpellier,Mainz 05,fr Ligue 1,de Bundesliga
Arnaut Danjuma,nl NED,27,1997,"FW, FW,MF","Villarreal,Girona","es La Liga,es La Liga",28,18,1535,4,0,4,78.97390272835112,21.5005931198102,65.0355871886121,Villarreal,Girona,es La Liga,es La Liga
Arne Engels,be BEL,20,2003,"MF,FW",Augsburg,de Bundesliga,1,1,79,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Augsburg,,de Bundesliga,
Arne Maier,de GER,25,1999,MF,Augsburg,de Bundesliga,28,7,938,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Augsburg,,de Bundesliga,
Aron Dønnum,no NOR,26,1998,"DF,MF",Toulouse,fr Ligue 1,32,31,2689,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Toulouse,,fr Ligue 1,
Arsen Zakharyan,ru RUS,21,2003,"MF,FW",Real Sociedad,es La Liga,3,1,73,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Real Sociedad,,es La Liga,
Artem Dovbyk,ua UKR,27,1997,FW,Roma,it Serie A,32,27,2418,12,2,14,96.8564650059312,69.42467378410439,93.44602609727166,Roma,,it Serie A,
Arthur Atta,fr FRA,21,2003,"MF,FW",Udinese,it Serie A,27,12,1251,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Udinese,,it Serie A,
Arthur Melo,br BRA,27,1996,MF,Girona,es La Liga,15,10,941,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Girona,,es La Liga,
Arthur Vermeeren,be BEL,19,2005,MF,RB Leipzig,de Bundesliga,28,18,1572,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,RB Leipzig,,de Bundesliga,
Arturo Rodríguez,es ESP,17,2006,FW,Las Palmas,es La Liga,1,0,21,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Las Palmas,,es La Liga,
Asher Agbinone,eng ENG,18,2005,MF,Crystal Palace,eng Premier League,2,0,6,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Crystal Palace,,eng Premier League,
Asier Villalibre,es ESP,26,1997,FW,Alavés,es La Liga,16,2,333,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Alavés,,es La Liga,
Assan Ouedraogo,de GER,18,2006,MF,RB Leipzig,de Bundesliga,3,0,50,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,RB Leipzig,,de Bundesliga,
Assane Diao,sn SEN,18,2005,"FW, FW,MF","Como,Betis","it Serie A,es La Liga",25,16,1529,9,3,12,92.88256227758008,79.7153024911032,90.74733096085409,Como,Betis,it Serie A,es La Liga
Assane Dioussé,sn SEN,26,1997,MF,Auxerre,fr Ligue 1,17,7,663,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Auxerre,,fr Ligue 1,
Aster Vranckx,be BEL,21,2002,MF,Wolfsburg,de Bundesliga,14,6,556,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Wolfsburg,,de Bundesliga,
Atakan Karazor,tr TUR,27,1996,MF,Stuttgart,de Bundesliga,32,31,2618,2,4,6,62.30723606168446,86.98102016607355,75.62277580071175,Stuttgart,,de Bundesliga,
Augustine Boakye,gh GHA,23,2000,"FW,MF",Saint-Étienne,fr Ligue 1,17,8,733,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Saint-Étienne,,fr Ligue 1,
Aurélien Tchouaméni,fr FRA,24,2000,"DF,MF",Real Madrid,es La Liga,32,31,2689,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Real Madrid,,es La Liga,
Axel Camblan,fr FRA,20,2003,"MF,FW",Brest,fr Ligue 1,2,0,26,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Brest,,fr Ligue 1,
Axel Gueguin,fr FRA,19,2005,FW,Montpellier,fr Ligue 1,1,0,23,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Montpellier,,fr Ligue 1,
Axel Tapé,fr FRA,16,2007,"DF,MF",Paris S-G,fr Ligue 1,2,2,180,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Paris S-G,,fr Ligue 1,
Ayanda Sishuba,be BEL,19,2005,FW,Rennes,fr Ligue 1,1,0,3,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Rennes,,fr Ligue 1,
Ayman Aiki,fr FRA,19,2005,"FW,MF",Saint-Étienne,fr Ligue 1,5,1,127,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Saint-Étienne,,fr Ligue 1,
Ayman Azhil,ma MAR,23,2001,MF,Dortmund,de Bundesliga,1,0,24,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Dortmund,,de Bundesliga,
Aymen Barkok,ma MAR,26,1998,MF,Mainz 05,de Bundesliga,4,0,73,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Mainz 05,,de Bundesliga,
Ayoze Pérez,es ESP,31,1993,FW,Villarreal,es La Liga,30,22,1970,19,2,21,98.99169632265718,69.42467378410439,98.22064056939502,Villarreal,,es La Liga,
Ayyoub Bouaddi,fr FRA,16,2007,MF,Lille,fr Ligue 1,24,11,1151,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Lille,,fr Ligue 1,
Azor Matusiwa,nl NED,26,1998,MF,Rennes,fr Ligue 1,29,23,2078,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Rennes,,fr Ligue 1,
Badredine Bouanani,dz ALG,19,2004,"MF,FW",Nice,fr Ligue 1,26,11,1099,3,3,6,72.27164887307237,79.7153024911032,75.62277580071175,Nice,,fr Ligue 1,
Bahereba Guirassy,fr FRA,17,2006,"FW,MF",Nantes,fr Ligue 1,19,2,348,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Nantes,,fr Ligue 1,
Balthazar Pierret,fr FRA,24,2000,MF,Lecce,it Serie A,30,21,1723,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lecce,,it Serie A,
Bamba Dieng,sn SEN,24,2000,FW,Angers,fr Ligue 1,18,5,532,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Angers,,fr Ligue 1,
Baptiste Santamaria,fr FRA,29,1995,MF,"Nice,Rennes","fr Ligue 1,fr Ligue 1",23,16,1409,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Nice,Rennes,fr Ligue 1,fr Ligue 1
Bazoumana Touré,ci CIV,18,2006,"FW,MF",Hoffenheim,de Bundesliga,13,7,609,0,3,3,19.572953736654803,79.7153024911032,57.147093712930015,Hoffenheim,,de Bundesliga,
Ben Brereton,cl CHI,25,1999,FW,Southampton,eng Premier League,10,4,449,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Southampton,,eng Premier League,
Ben Johnson,eng ENG,24,2000,"DF,FW",Ipswich Town,eng Premier League,23,14,1354,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Ipswich Town,,eng Premier League,
Ben Lhassine Kone,ci CIV,24,2000,MF,Como,it Serie A,4,0,51,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Como,,it Serie A,
Ben Old,nz NZL,21,2002,"FW,MF",Saint-Étienne,fr Ligue 1,13,4,528,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Saint-Étienne,,fr Ligue 1,
Ben Viadere,fr FRA,18,2005,MF,Auxerre,fr Ligue 1,1,0,5,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Auxerre,,fr Ligue 1,
Ben Winterburn,eng ENG,19,2004,"MF,FW",Bournemouth,eng Premier League,4,0,24,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Bournemouth,,eng Premier League,
Bence Dárdai,hu HUN,18,2006,MF,Wolfsburg,de Bundesliga,21,16,1304,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Wolfsburg,,de Bundesliga,
Benedict Hollerbach,de GER,23,2001,"FW,MF",Union Berlin,de Bundesliga,34,30,2540,9,1,10,92.88256227758008,53.084223013048636,87.18861209964413,Union Berlin,,de Bundesliga,
Benedikt Pichler,at AUT,27,1997,FW,Holstein Kiel,de Bundesliga,18,7,785,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Holstein Kiel,,de Bundesliga,
Benito Ramírez,es ESP,29,1995,"DF,FW",Las Palmas,es La Liga,19,2,478,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Las Palmas,,es La Liga,
Benjamin André,fr FRA,33,1990,MF,Lille,fr Ligue 1,30,30,2692,0,3,3,19.572953736654803,79.7153024911032,57.147093712930015,Lille,,fr Ligue 1,
Benjamin Bouchouari,ma MAR,22,2001,MF,Saint-Étienne,fr Ligue 1,25,20,1772,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Saint-Étienne,,fr Ligue 1,
Benjamin Bourigeaud,fr FRA,30,1994,MF,Rennes,fr Ligue 1,1,1,80,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Rennes,,fr Ligue 1,
Benjamin Šeško,si SVN,21,2003,"FW,MF",RB Leipzig,de Bundesliga,33,30,2380,13,5,18,97.44958481613286,91.48873072360617,97.0344009489917,RB Leipzig,,de Bundesliga,
Benjamín Domínguez,ar ARG,20,2003,FW,Bologna,it Serie A,24,16,1281,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Bologna,,it Serie A,
Bernard Nguene,cm CMR,17,2006,FW,Nice,fr Ligue 1,1,0,13,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Nice,,fr Ligue 1,
Bernardo Silva,pt POR,29,1994,"MF,FW",Manchester City,eng Premier League,33,29,2670,4,4,8,78.97390272835112,86.98102016607355,81.73190984578885,Manchester City,,eng Premier League,
Bertuğ Yıldırım,tr TUR,22,2002,FW,Getafe,es La Liga,22,14,1083,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Getafe,,es La Liga,
Beto,gw GNB,26,1998,FW,Everton,eng Premier League,30,15,1534,8,0,8,91.19217081850533,21.5005931198102,81.73190984578885,Everton,,eng Premier League,
Beñat Prados,es ESP,23,2001,MF,Athletic Club,es La Liga,30,21,1715,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Athletic Club,,es La Liga,
Beñat Turrientes,es ESP,22,2002,MF,Real Sociedad,es La Liga,21,11,942,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Real Sociedad,,es La Liga,
Bilal Brahimi,dz ALG,24,2000,MF,Nice,fr Ligue 1,2,1,76,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Nice,,fr Ligue 1,
Bilal El Khannouss,ma MAR,20,2004,"MF,FW",Leicester City,eng Premier League,32,27,2182,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Leicester City,,eng Premier League,
Bilal Nadir,ma MAR,20,2003,MF,Marseille,fr Ligue 1,15,5,383,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Marseille,,fr Ligue 1,
Billy Gilmour,sct SCO,23,2001,MF,"Brighton,Napoli","eng Premier League,it Serie A",28,14,1275,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Brighton,Napoli,eng Premier League,it Serie A
Birama Touré,ml MLI,32,1992,"MF,DF",Montpellier,fr Ligue 1,8,2,300,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Montpellier,,fr Ligue 1,
Bjarki Bjarkason,is ISL,24,2000,"DF,MF",Venezia,it Serie A,9,1,165,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Venezia,,it Serie A,
Bob Murphy Omoregbe,it ITA,20,2003,MF,Milan,it Serie A,1,0,3,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Milan,,it Serie A,
Bobby De Cordova-Reid,jm JAM,31,1993,FW,Leicester City,eng Premier League,23,9,744,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Leicester City,,eng Premier League,
Bojan Miovski,mk MKD,25,1999,FW,Girona,es La Liga,17,12,869,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Girona,,es La Liga,
Borja Iglesias,es ESP,31,1993,FW,Celta Vigo,es La Liga,37,24,1952,11,3,14,95.93712930011863,79.7153024911032,93.44602609727166,Celta Vigo,,es La Liga,
Borja Mayoral,es ESP,27,1997,FW,Getafe,es La Liga,24,7,1114,5,1,6,83.27402135231317,53.084223013048636,75.62277580071175,Getafe,,es La Liga,
Boubacar Kamara,fr FRA,24,1999,MF,Aston Villa,eng Premier League,26,20,1726,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Aston Villa,,eng Premier League,
Boubacar Traoré,ml MLI,22,2001,MF,Wolves,eng Premier League,1,0,1,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Wolves,,eng Premier League,
Boubakary Soumaré,fr FRA,25,1999,MF,Leicester City,eng Premier League,31,25,2171,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Leicester City,,eng Premier League,
Boulaye Dia,sn SEN,27,1996,"MF,FW",Lazio,it Serie A,35,27,2177,9,3,12,92.88256227758008,79.7153024911032,90.74733096085409,Lazio,,it Serie A,
Bradley Barcola,fr FRA,21,2002,FW,Paris S-G,fr Ligue 1,34,27,2181,14,10,24,97.83511269276394,99.22894424673784,99.05100830367735,Paris S-G,,fr Ligue 1,
Brahim Díaz,ma MAR,24,1999,"FW,MF",Real Madrid,es La Liga,31,16,1385,4,2,6,78.97390272835112,69.42467378410439,75.62277580071175,Real Madrid,,es La Liga,
Brais Méndez,es ESP,27,1997,MF,Real Sociedad,es La Liga,27,19,1531,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Real Sociedad,,es La Liga,
Brajan Gruda,de GER,20,2004,"MF,FW",Brighton,eng Premier League,21,8,687,1,4,5,47.805456702253856,86.98102016607355,71.14472123368921,Brighton,,eng Premier League,
Breel Embolo,ch SUI,27,1997,"FW,MF",Monaco,fr Ligue 1,29,19,1841,6,4,10,86.71411625148279,86.98102016607355,87.18861209964413,Monaco,,fr Ligue 1,
Brennan Johnson,wls WAL,23,2001,FW,Tottenham,eng Premier League,33,24,2177,11,3,14,95.93712930011863,79.7153024911032,93.44602609727166,Tottenham,,eng Premier League,
Brenner,br BRA,24,2000,"MF,FW",Udinese,it Serie A,9,5,386,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Udinese,,it Serie A,
Brooke Norton-Cuffy,eng ENG,20,2004,"DF,FW",Genoa,it Serie A,14,8,719,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Genoa,,it Serie A,
Bruno Fernandes,pt POR,29,1994,MF,Manchester Utd,eng Premier League,36,35,3018,8,10,18,91.19217081850533,99.22894424673784,97.0344009489917,Manchester Utd,,eng Premier League,
Bruno Guimarães,br BRA,26,1997,MF,Newcastle Utd,eng Premier League,38,38,3271,5,6,11,83.27402135231317,94.09845788849347,89.1459074733096,Newcastle Utd,,eng Premier League,
Bryan Cristante,it ITA,29,1995,MF,Roma,it Serie A,30,23,2045,4,2,6,78.97390272835112,69.42467378410439,75.62277580071175,Roma,,it Serie A,
Bryan Gil,es ESP,23,2001,"FW,MF",Girona,es La Liga,25,21,1721,3,3,6,72.27164887307237,79.7153024911032,75.62277580071175,Girona,,es La Liga,
Bryan Mbeumo,cm CMR,24,1999,FW,Brentford,eng Premier League,38,38,3414,20,7,27,99.16963226571768,96.17437722419929,99.4958481613286,Brentford,,eng Premier League,
Bryan Zaragoza,es ESP,23,2001,"FW,MF",Osasuna,es La Liga,27,22,1836,1,6,7,47.805456702253856,94.09845788849347,79.2111506524318,Osasuna,,es La Liga,
Budu Zivzivadze,ge GEO,30,1994,FW,Heidenheim,de Bundesliga,15,10,958,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Heidenheim,,de Bundesliga,
Bukayo Saka,eng ENG,22,2001,"FW,MF",Arsenal,eng Premier League,25,20,1729,6,10,16,86.71411625148279,99.22894424673784,95.72953736654804,Arsenal,,eng Premier League,
Caleb Ekuban,gh GHA,30,1994,FW,Genoa,it Serie A,18,3,555,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Genoa,,it Serie A,
Caleb Wiley,us USA,19,2004,"DF,MF",Strasbourg,fr Ligue 1,6,3,266,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Strasbourg,,fr Ligue 1,
Callum Hudson-Odoi,eng ENG,23,2000,"FW,MF",Nott'ham Forest,eng Premier League,31,25,2194,5,2,7,83.27402135231317,69.42467378410439,79.2111506524318,Nott'ham Forest,,eng Premier League,
Callum Wilson,eng ENG,32,1992,FW,Newcastle Utd,eng Premier League,18,2,370,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Newcastle Utd,,eng Premier League,
Cameron Archer,eng ENG,23,2001,FW,Southampton,eng Premier League,35,13,1441,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Southampton,,eng Premier League,
Can Uzun,tr TUR,18,2005,"MF,FW",Eint Frankfurt,de Bundesliga,20,6,675,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Eint Frankfurt,,de Bundesliga,
Carles Aleñá,es ESP,26,1998,"MF,FW","Getafe,Alavés","es La Liga,es La Liga",24,18,1542,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Getafe,Alavés,es La Liga,es La Liga
Carles Pérez,es ESP,26,1998,"MF,FW",Getafe,es La Liga,27,15,1431,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Getafe,,es La Liga,
Carlo Boukhalfa,ma MAR,25,1999,MF,St. Pauli,de Bundesliga,25,19,1646,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,St. Pauli,,de Bundesliga,
Carlos Alcaraz,ar ARG,21,2002,"FW,MF, MF","Southampton,Everton","eng Premier League,eng Premier League",16,7,774,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Southampton,Everton,eng Premier League,eng Premier League
Carlos Baleba,cm CMR,20,2004,MF,Brighton,eng Premier League,34,31,2661,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Brighton,,eng Premier League,
Carlos Benavídez,uy URU,26,1998,MF,Alavés,es La Liga,18,6,487,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Alavés,,es La Liga,
Carlos Forbs,pt POR,20,2004,"MF,FW",Wolves,eng Premier League,10,1,239,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Wolves,,eng Premier League,
Carlos Guirao,es ESP,21,2003,MF,Betis,es La Liga,2,2,110,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Betis,,es La Liga,
Carlos Gómez,co COL,21,2002,"MF,DF",Rennes,fr Ligue 1,17,2,381,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Rennes,,fr Ligue 1,
Carlos Martín,es ESP,22,2002,"FW,MF",Alavés,es La Liga,26,16,1333,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Alavés,,es La Liga,
Carlos Soler,es ESP,27,1997,"MF,FW",West Ham,eng Premier League,31,14,1409,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,West Ham,,eng Premier League,
Carlos Vicente,es ESP,25,1999,"FW,MF",Alavés,es La Liga,37,35,3092,5,5,10,83.27402135231317,91.48873072360617,87.18861209964413,Alavés,,es La Liga,
Carlos Vinícius,br BRA,29,1995,"MF,FW",Fulham,eng Premier League,3,0,16,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Fulham,,eng Premier League,
Carney Chukwuemeka,eng ENG,20,2003,MF,Dortmund,de Bundesliga,10,1,253,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Dortmund,,de Bundesliga,
Casemiro,br BRA,32,1992,MF,Manchester Utd,eng Premier League,24,18,1494,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Manchester Utd,,eng Premier League,
Casper Tengstedt,dk DEN,24,2000,FW,Hellas Verona,it Serie A,25,20,1517,6,1,7,86.71411625148279,53.084223013048636,79.2111506524318,Hellas Verona,,it Serie A,
Cesare Casadei,it ITA,21,2003,MF,Torino,it Serie A,15,13,1017,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Torino,,it Serie A,
Charles De Ketelaere,be BEL,23,2001,"MF,FW",Atalanta,it Serie A,36,25,2070,7,7,14,89.35349940688019,96.17437722419929,93.44602609727166,Atalanta,,it Serie A,
Che Adams,sct SCO,28,1996,FW,Torino,it Serie A,36,30,2652,9,3,12,92.88256227758008,79.7153024911032,90.74733096085409,Torino,,it Serie A,
Cheick Doucouré,ml MLI,24,2000,MF,Crystal Palace,eng Premier League,13,4,452,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Crystal Palace,,eng Premier League,
Cheick Oumar Conde,gn GUI,24,2000,MF,Venezia,it Serie A,9,1,151,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Venezia,,it Serie A,
Cheikh Tidiane Niasse,sn SEN,24,2000,MF,Hellas Verona,it Serie A,11,8,755,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Hellas Verona,,it Serie A,
